,NAME,T WNS(ns),T TNS(ns),T WHS(ns),T THS(ns),P Total On-Chip Power (W),U CLB LUTs,U CLB LUTs (%),U CLB Registers,U CLB Registers (%),U LUT as Logic,U LUT as Logic (%),U LUT as Memory,U LUT as Memory (%),E impl total,E synth synth_design,E impl open_checkpoint,E impl opt_design,E impl phys_opt_design,E impl place_design,E impl report_clock_utilization,E impl report_control_sets,E impl report_drc,E impl report_io,E impl report_methodology,E impl report_power,E impl route_design,E impl write_checkpoint,E synth create_clock,E synth total,E synth write_checkpoint,P Confidence Level,P Design Nets Matched,P Design Power Budget (W),P Device Static (W),P Dynamic (W),P Effective TJA (C/W),P Junction Temperature (C),P Max Ambient (C),P Power Budget Margin (W),P Setting File,P Simulation Activity File,T THS Failing Endpoints,T THS Total Endpoints,T TNS Failing Endpoints,T TNS Total Endpoints,T TNS(ns),T TPWS Failing Endpoints,T TPWS Total Endpoints,T TPWS(ns),T WPWS(ns),U CARRY8,U CARRY8 (%),U F7 Muxes,U F7 Muxes (%),U F8 Muxes,U F8 Muxes (%),U F9 Muxes,U F9 Muxes (%),U Register as Flip Flop,U Register as Flip Flop (%),U Register as Latch,U Register as Latch (%)
104,I352_O016_D003_II4_M0_F1_IR0_R0,-2.381,-1290.110,0.044,0.000,4.466,55967,4.73,9239,0.39,55967,4.73,0,0.00,00:32:33,00:17:25,00:02:02,00:00:23,00:01:22,00:09:31,00:00:15,00:00:00,00:00:11,00:00:00,00:00:13,00:00:38,00:16:33,00:00:18,00:00:05,00:17:46,00:00:16,Medium,NA,Unspecified*,2.498,1.968,0.5,27.4,97.6,NA,---,---,0,14290,919,14290,-1290.110,0,9239,0.000,2.850,0,0.00,270,0.05,0,0.00,0,0.00,9239,0.39,0,0.00
70,I352_O016_D003_II4_M0_F1_IR0_R1,-2.381,-1290.110,0.044,0.000,4.466,55967,4.73,9239,0.39,55967,4.73,0,0.00,00:31:18,00:17:22,00:02:01,00:00:23,00:01:17,00:09:10,00:00:15,00:00:00,00:00:10,00:00:00,00:00:13,00:00:36,00:15:49,00:00:18,00:00:05,00:17:43,00:00:16,Medium,NA,Unspecified*,2.498,1.968,0.5,27.4,97.6,NA,---,---,0,14290,919,14290,-1290.110,0,9239,0.000,2.850,0,0.00,270,0.05,0,0.00,0,0.00,9239,0.39,0,0.00
79,I352_O016_D003_II4_M0_F1_IR1_R0,-3.793,-2620.221,0.040,0.000,4.822,56375,4.77,17982,0.76,56375,4.77,0,0.00,00:35:15,00:14:00,00:02:03,00:00:26,00:01:30,00:10:21,00:00:14,00:00:00,00:00:10,00:00:00,00:00:12,00:00:35,00:18:22,00:00:18,00:00:05,00:14:23,00:00:18,Medium,NA,Unspecified*,2.503,2.319,0.5,27.6,97.4,NA,---,---,0,30276,1719,30276,-2620.221,0,17982,0.000,2.850,0,0.00,364,0.06,0,0.00,0,0.00,17982,0.76,0,0.00
54,I352_O016_D003_II4_M0_F1_IR1_R1,-3.793,-2620.221,0.040,0.000,4.822,56375,4.77,17982,0.76,56375,4.77,0,0.00,00:36:02,00:13:29,00:02:10,00:00:27,00:01:32,00:10:43,00:00:14,00:00:00,00:00:11,00:00:00,00:00:13,00:00:36,00:18:33,00:00:18,00:00:05,00:13:51,00:00:17,Medium,NA,Unspecified*,2.503,2.319,0.5,27.6,97.4,NA,---,---,0,30276,1719,30276,-2620.221,0,17982,0.000,2.850,0,0.00,364,0.06,0,0.00,0,0.00,17982,0.76,0,0.00
15,I352_O016_D003_II4_M1_F1_IR0_R1,-3.847,-2299.790,0.042,0.000,4.780,53892,4.56,5487,0.23,53892,4.56,0,0.00,00:33:02,00:23:54,00:01:57,00:00:22,00:01:13,00:08:34,00:00:17,00:00:00,00:00:11,00:00:00,00:00:13,00:00:38,00:18:20,00:00:15,00:00:05,00:24:13,00:00:14,Medium,NA,Unspecified*,2.502,2.277,0.5,27.6,97.4,NA,---,---,0,7541,1292,7541,-2299.790,0,5487,0.000,2.850,0,0.00,9208,1.56,3840,1.30,0,0.00,5487,0.23,0,0.00
37,I352_O016_D003_II4_M1_F1_IR1_R1,-5.992,-4045.181,0.044,0.000,4.526,49316,4.17,14949,0.63,49316,4.17,0,0.00,00:41:29,00:20:12,00:01:56,00:00:21,00:01:22,00:09:05,00:00:15,00:00:00,00:00:10,00:00:00,00:00:12,00:00:34,00:26:23,00:00:16,00:00:05,00:20:31,00:00:14,Medium,NA,Unspecified*,2.498,2.027,0.5,27.5,97.5,NA,---,---,0,24227,2158,24227,-4045.181,0,14949,0.000,2.850,0,0.00,9198,1.56,3840,1.30,0,0.00,14949,0.63,0,0.00
102,I352_O016_D004_II1_M0_F1_IR0_R0,-0.412,-59.544,0.076,0.000,6.402,55045,4.66,15279,0.65,55045,4.66,0,0.00,00:33:12,00:19:18,00:02:00,00:00:23,00:01:02,00:08:58,00:00:14,00:00:00,00:00:10,00:00:00,00:00:12,00:00:34,00:18:23,00:00:17,00:00:05,00:19:39,00:00:16,Medium,NA,Unspecified*,2.526,3.875,0.5,28.5,96.5,NA,---,---,0,9021,418,9021,-59.544,0,15279,0.000,2.850,0,0.00,442,0.07,0,0.00,0,0.00,15279,0.65,0,0.00
50,I352_O016_D004_II1_M0_F1_IR0_R1,-0.412,-59.544,0.076,0.000,6.402,55045,4.66,15279,0.65,55045,4.66,0,0.00,00:35:46,00:19:39,00:02:01,00:00:23,00:01:04,00:09:35,00:00:15,00:00:00,00:00:11,00:00:00,00:00:13,00:00:36,00:20:09,00:00:18,00:00:05,00:20:00,00:00:16,Medium,NA,Unspecified*,2.526,3.875,0.5,28.5,96.5,NA,---,---,0,9021,418,9021,-59.544,0,15279,0.000,2.850,0,0.00,442,0.07,0,0.00,0,0.00,15279,0.65,0,0.00
85,I352_O016_D004_II1_M0_F1_IR1_R0,-0.344,-44.509,0.042,0.000,6.464,53401,4.52,20917,0.88,53401,4.52,0,0.00,00:33:11,00:21:22,00:02:01,00:00:24,00:01:02,00:09:18,00:00:14,00:00:00,00:00:11,00:00:00,00:00:12,00:00:33,00:17:55,00:00:18,00:00:05,00:21:44,00:00:17,Medium,NA,Unspecified*,2.527,3.937,0.5,28.5,96.5,NA,---,---,0,21315,343,21315,-44.509,0,20917,0.000,2.850,0,0.00,567,0.10,0,0.00,0,0.00,20917,0.88,0,0.00
62,I352_O016_D004_II1_M0_F1_IR1_R1,-0.344,-44.509,0.042,0.000,6.464,53401,4.52,20917,0.88,53401,4.52,0,0.00,00:33:17,00:22:19,00:02:01,00:00:24,00:01:03,00:09:17,00:00:14,00:00:00,00:00:10,00:00:00,00:00:11,00:00:33,00:18:03,00:00:18,00:00:06,00:22:42,00:00:17,Medium,NA,Unspecified*,2.527,3.937,0.5,28.5,96.5,NA,---,---,0,21315,343,21315,-44.509,0,20917,0.000,2.850,0,0.00,567,0.10,0,0.00,0,0.00,20917,0.88,0,0.00
13,I352_O016_D004_II1_M1_F1_IR0_R0,-3.482,-1568.716,0.046,0.000,5.494,48667,4.12,19191,0.81,48667,4.12,0,0.00,00:51:39,00:18:08,00:02:00,00:00:22,00:01:07,00:09:43,00:00:13,00:00:00,00:00:10,00:00:00,00:00:12,00:00:33,00:35:56,00:00:18,00:00:05,00:18:30,00:00:17,Medium,NA,Unspecified*,2.513,2.981,0.5,28.0,97.0,NA,---,---,0,12934,1285,12934,-1568.716,0,19191,0.000,2.850,0,0.00,9299,1.57,3840,1.30,0,0.00,19191,0.81,0,0.00
9,I352_O016_D004_II1_M1_F1_IR0_R1,-2.046,-713.087,0.043,0.000,5.562,49317,4.17,19190,0.81,49317,4.17,0,0.00,01:01:42,00:18:16,00:01:59,00:00:23,00:01:05,00:08:51,00:00:14,00:00:00,00:00:10,00:00:00,00:00:12,00:00:34,00:47:02,00:00:15,00:00:05,00:18:36,00:00:15,Medium,NA,Unspecified*,2.514,3.048,0.5,28.0,97.0,NA,---,---,0,12933,901,12933,-713.087,0,19190,0.000,2.850,0,0.00,8217,1.39,3224,1.09,0,0.00,19190,0.81,0,0.00
35,I352_O016_D004_II1_M1_F1_IR1_R0,-3.651,-1470.473,0.049,0.000,5.710,,,,,,,,,03:48:47,00:15:53,00:02:01,00:00:23,00:01:22,00:08:15,00:00:14,00:00:00,00:00:10,00:00:00,00:00:12,00:00:35,03:34:09,00:00:19,00:00:05,00:16:16,00:00:18,Medium,NA,Unspecified*,2.516,3.194,0.5,28.1,96.9,NA,---,---,0,21108,1215,21108,-1470.473,0,20709,0.000,2.552,,,,,,,,,,,,
32,I352_O016_D004_II1_M1_F1_IR1_R1,-3.702,-1505.706,0.049,0.000,5.757,,,,,,,,,03:08:47,00:16:24,00:02:00,00:00:25,00:01:30,00:09:04,00:00:15,00:00:00,00:00:10,00:00:00,00:00:12,00:00:35,02:53:18,00:00:17,00:00:05,00:16:44,00:00:15,Medium,NA,Unspecified*,2.517,3.240,0.5,28.1,96.9,NA,---,---,0,21106,1188,21106,-1505.706,0,20707,0.000,2.552,,,,,,,,,,,,
105,I352_O016_D004_II4_M0_F1_IR0_R0,-0.326,-34.624,0.042,0.000,4.974,53467,4.52,11061,0.47,53467,4.52,0,0.00,00:31:39,00:19:11,00:02:02,00:00:24,00:01:07,00:09:03,00:00:14,00:00:00,00:00:11,00:00:00,00:00:13,00:00:34,00:16:34,00:00:17,00:00:05,00:19:32,00:00:16,Medium,NA,Unspecified*,2.505,2.469,0.5,27.7,97.3,NA,---,---,0,19649,336,19649,-34.624,0,11061,0.000,2.850,0,0.00,592,0.10,0,0.00,0,0.00,11061,0.47,0,0.00
72,I352_O016_D004_II4_M0_F1_IR0_R1,-0.326,-34.624,0.042,0.000,4.974,53467,4.52,11061,0.47,53467,4.52,0,0.00,00:33:39,00:19:51,00:02:00,00:00:23,00:01:11,00:09:38,00:00:15,00:00:00,00:00:11,00:00:00,00:00:13,00:00:36,00:17:54,00:00:17,00:00:05,00:20:12,00:00:16,Medium,NA,Unspecified*,2.505,2.469,0.5,27.7,97.3,NA,---,---,0,19649,336,19649,-34.624,0,11061,0.000,2.850,0,0.00,592,0.10,0,0.00,0,0.00,11061,0.47,0,0.00
98,I352_O016_D004_II4_M0_F1_IR1_R0,-1.314,-548.120,0.043,0.000,4.099,53230,4.50,20882,0.88,53230,4.50,0,0.00,00:31:56,00:19:39,00:02:02,00:00:24,00:01:17,00:09:32,00:00:14,00:00:00,00:00:10,00:00:00,00:00:12,00:00:33,00:16:12,00:00:18,00:00:05,00:20:00,00:00:16,Medium,NA,Unspecified*,2.492,1.606,0.5,27.2,97.8,NA,---,---,0,36092,1052,36092,-548.120,0,20882,0.000,2.850,0,0.00,521,0.09,0,0.00,0,0.00,20882,0.88,0,0.00
68,I352_O016_D004_II4_M0_F1_IR1_R1,-1.314,-548.120,0.043,0.000,4.099,53230,4.50,20882,0.88,53230,4.50,0,0.00,00:34:06,00:20:18,00:02:03,00:00:26,00:01:21,00:10:03,00:00:16,00:00:00,00:00:10,00:00:00,00:00:13,00:00:35,00:17:38,00:00:18,00:00:05,00:20:40,00:00:17,Medium,NA,Unspecified*,2.492,1.606,0.5,27.2,97.8,NA,---,---,0,36092,1052,36092,-548.120,0,20882,0.000,2.850,0,0.00,521,0.09,0,0.00,0,0.00,20882,0.88,0,0.00
22,I352_O016_D004_II4_M1_F1_IR0_R1,-2.100,-927.883,0.056,0.000,4.576,50698,4.29,6510,0.28,50698,4.29,0,0.00,00:33:15,00:20:47,00:01:58,00:00:23,00:01:26,00:08:12,00:00:16,00:00:00,00:00:10,00:00:00,00:00:12,00:00:35,00:18:50,00:00:16,00:00:05,00:21:06,00:00:14,Medium,NA,Unspecified*,2.499,2.076,0.5,27.5,97.5,NA,---,---,0,10553,1092,10553,-927.883,0,6510,0.000,2.850,0,0.00,9215,1.56,3840,1.30,0,0.00,6510,0.28,0,0.00
43,I352_O016_D004_II4_M1_F1_IR1_R1,-3.685,-1664.542,0.044,0.000,4.431,51070,4.32,16480,0.70,51070,4.32,0,0.00,01:21:24,00:19:22,00:01:57,00:00:22,00:01:17,00:09:09,00:00:14,00:00:00,00:00:10,00:00:00,00:00:11,00:00:35,01:06:15,00:00:17,00:00:05,00:19:42,00:00:15,Medium,NA,Unspecified*,2.497,1.934,0.5,27.4,97.6,NA,---,---,0,27287,1312,27287,-1664.542,0,16480,0.000,2.850,0,0.00,9223,1.56,3840,1.30,0,0.00,16480,0.70,0,0.00
97,I352_O016_D005_II1_M0_F1_IR0_R0,0.135,0.000,0.050,0.000,6.264,54312,4.59,17511,0.74,54312,4.59,0,0.00,00:23:14,00:19:32,00:02:00,00:00:24,00:00:06,00:06:35,00:00:14,00:00:00,00:00:10,00:00:00,00:00:17,00:00:34,00:11:35,00:00:18,00:00:05,00:19:53,00:00:16,Medium,NA,Unspecified*,2.524,3.740,0.5,28.4,96.6,NA,---,---,0,11253,0,11253,0.000,0,17511,0.000,2.850,0,0.00,774,0.13,5,<0.01,0,0.00,17511,0.74,0,0.00
69,I352_O016_D005_II1_M0_F1_IR0_R1,0.135,0.000,0.050,0.000,6.264,54312,4.59,17511,0.74,54312,4.59,0,0.00,00:24:05,00:19:21,00:02:04,00:00:25,00:00:07,00:06:57,00:00:16,00:00:00,00:00:11,00:00:00,00:00:19,00:00:35,00:11:50,00:00:18,00:00:05,00:19:42,00:00:16,Medium,NA,Unspecified*,2.524,3.740,0.5,28.4,96.6,NA,---,---,0,11253,0,11253,0.000,0,17511,0.000,2.850,0,0.00,774,0.13,5,<0.01,0,0.00,17511,0.74,0,0.00
93,I352_O016_D005_II1_M0_F1_IR1_R0,0.366,0.000,0.043,0.000,6.392,53962,4.56,23143,0.98,53962,4.56,0,0.00,00:24:06,00:18:47,00:02:04,00:00:24,00:00:08,00:07:07,00:00:14,00:00:00,00:00:10,00:00:00,00:00:17,00:00:35,00:11:47,00:00:18,00:00:05,00:19:09,00:00:17,Medium,NA,Unspecified*,2.526,3.866,0.5,28.5,96.5,NA,---,---,0,23541,0,23541,0.000,0,23143,0.000,2.850,0,0.00,749,0.13,5,<0.01,0,0.00,23143,0.98,0,0.00
59,I352_O016_D005_II1_M0_F1_IR1_R1,0.366,0.000,0.043,0.000,6.392,53962,4.56,23143,0.98,53962,4.56,0,0.00,00:25:30,00:19:15,00:02:06,00:00:26,00:00:09,00:07:28,00:00:16,00:00:00,00:00:11,00:00:00,00:00:19,00:00:36,00:12:34,00:00:19,00:00:05,00:19:37,00:00:17,Medium,NA,Unspecified*,2.526,3.866,0.5,28.5,96.5,NA,---,---,0,23541,0,23541,0.000,0,23143,0.000,2.850,0,0.00,749,0.13,5,<0.01,0,0.00,23143,0.98,0,0.00
11,I352_O016_D005_II1_M1_F1_IR0_R0,-1.546,-284.960,0.039,0.000,5.542,,,,,,,,,00:37:52,00:15:54,00:02:01,00:00:23,00:01:05,00:08:26,00:00:14,00:00:00,00:00:11,00:00:00,00:00:12,00:00:32,00:23:27,00:00:18,00:00:05,00:16:16,00:00:17,Medium,NA,Unspecified*,2.513,3.029,0.5,28.0,97.0,NA,---,---,0,14054,420,14054,-284.960,0,20311,0.000,2.552,,,,,,,,,,,,
20,I352_O016_D005_II1_M1_F1_IR0_R1,-0.500,-51.585,0.039,0.000,5.549,,,,,,,,,00:41:44,00:15:55,00:01:56,00:00:22,00:00:22,00:07:58,00:00:15,00:00:00,00:00:11,00:00:00,00:00:12,00:00:33,00:28:43,00:00:16,00:00:05,00:16:15,00:00:15,Medium,NA,Unspecified*,2.513,3.035,0.5,28.0,97.0,NA,---,---,0,14051,210,14051,-51.585,0,20308,0.000,2.552,,,,,,,,,,,,
40,I352_O016_D005_II1_M1_F1_IR1_R0,-1.807,-346.573,0.039,0.000,5.549,,,,,,,,,06:56:30,00:16:22,00:01:59,00:00:23,00:01:15,00:08:35,00:00:14,00:00:00,00:00:11,00:00:00,00:00:12,00:00:32,06:41:46,00:00:19,00:00:05,00:16:44,00:00:17,Medium,NA,Unspecified*,2.513,3.036,0.5,28.0,97.0,NA,---,---,0,22118,527,22118,-346.573,0,21719,0.000,2.552,,,,,,,,,,,,
26,I352_O016_D005_II1_M1_F1_IR1_R1,-1.842,-271.369,0.039,0.000,5.637,,,,,,,,,07:14:26,00:16:13,00:01:57,00:00:22,00:01:00,00:07:53,00:00:15,00:00:00,00:00:10,00:00:00,00:00:11,00:00:33,07:00:48,00:00:17,00:00:05,00:16:33,00:00:15,Medium,NA,Unspecified*,2.515,3.122,0.5,28.1,96.9,NA,---,---,0,22116,268,22116,-271.369,0,21717,0.000,2.552,,,,,,,,,,,,
103,I352_O016_D005_II4_M0_F1_IR0_R0,0.158,0.000,0.054,0.000,3.917,52924,4.48,10042,0.42,52924,4.48,0,0.00,00:25:08,00:14:40,00:02:01,00:00:23,00:00:06,00:07:24,00:00:14,00:00:00,00:00:10,00:00:00,00:00:18,00:00:32,00:12:44,00:00:17,00:00:05,00:15:00,00:00:15,Medium,NA,Unspecified*,2.490,1.427,0.5,27.1,97.9,NA,---,---,0,17614,0,17614,0.000,0,10042,0.000,2.850,0,0.00,609,0.10,0,0.00,0,0.00,10042,0.42,0,0.00
75,I352_O016_D005_II4_M0_F1_IR0_R1,0.158,0.000,0.054,0.000,3.917,52924,4.48,10042,0.42,52924,4.48,0,0.00,00:25:08,00:15:26,00:02:02,00:00:24,00:00:06,00:07:23,00:00:14,00:00:00,00:00:11,00:00:00,00:00:17,00:00:32,00:12:42,00:00:17,00:00:05,00:15:47,00:00:16,Medium,NA,Unspecified*,2.490,1.427,0.5,27.1,97.9,NA,---,---,0,17614,0,17614,0.000,0,10042,0.000,2.850,0,0.00,609,0.10,0,0.00,0,0.00,10042,0.42,0,0.00
91,I352_O016_D005_II4_M0_F1_IR1_R0,0.369,0.000,0.040,0.000,4.644,55101,4.66,22733,0.96,55101,4.66,0,0.00,00:25:12,00:17:31,00:02:02,00:00:24,00:00:08,00:07:38,00:00:14,00:00:00,00:00:10,00:00:00,00:00:18,00:00:35,00:12:22,00:00:19,00:00:05,00:17:53,00:00:17,Medium,NA,Unspecified*,2.500,2.144,0.5,27.5,97.5,NA,---,---,0,39806,0,39806,0.000,0,22733,0.000,2.850,0,0.00,771,0.13,6,<0.01,0,0.00,22733,0.96,0,0.00
73,I352_O016_D005_II4_M0_F1_IR1_R1,0.369,0.000,0.040,0.000,4.644,55101,4.66,22733,0.96,55101,4.66,0,0.00,00:25:36,00:18:09,00:02:03,00:00:24,00:00:08,00:07:42,00:00:16,00:00:00,00:00:11,00:00:00,00:00:19,00:00:37,00:12:35,00:00:19,00:00:05,00:18:31,00:00:17,Medium,NA,Unspecified*,2.500,2.144,0.5,27.5,97.5,NA,---,---,0,39806,0,39806,0.000,0,22733,0.000,2.850,0,0.00,771,0.13,6,<0.01,0,0.00,22733,0.96,0,0.00
5,I352_O016_D005_II4_M1_F1_IR0_R1,-0.816,-78.232,0.056,0.000,4.072,48125,4.07,11600,0.49,48125,4.07,0,0.00,01:20:36,00:15:48,00:01:58,00:00:22,00:00:06,00:08:33,00:00:16,00:00:00,00:00:10,00:00:00,00:00:12,00:00:32,01:07:15,00:00:16,00:00:05,00:16:07,00:00:14,Medium,NA,Unspecified*,2.492,1.580,0.5,27.2,97.8,NA,---,---,0,16508,215,16508,-78.232,0,11600,0.000,2.850,0,0.00,9278,1.57,3848,1.30,0,0.00,11600,0.49,0,0.00
29,I352_O016_D005_II4_M1_F1_IR1_R1,-1.501,-204.940,0.041,0.000,4.396,47104,3.98,17233,0.73,47104,3.98,0,0.00,00:40:20,00:15:15,00:01:58,00:00:21,00:01:03,00:08:41,00:00:14,00:00:00,00:00:10,00:00:00,00:00:11,00:00:32,00:25:59,00:00:15,00:00:05,00:15:34,00:00:14,Medium,NA,Unspecified*,2.497,1.899,0.5,27.4,97.6,NA,---,---,0,28790,257,28790,-204.940,0,17233,0.000,2.850,0,0.00,9224,1.56,3842,1.30,0,0.00,17233,0.73,0,0.00
78,I352_O016_D006_II1_M0_F1_IR0_R0,0.621,0.000,0.048,0.000,6.278,52584,4.45,18335,0.78,52584,4.45,0,0.00,00:23:34,00:19:41,00:02:02,00:00:23,00:00:07,00:06:57,00:00:14,00:00:00,00:00:10,00:00:00,00:00:17,00:00:34,00:11:32,00:00:17,00:00:05,00:20:03,00:00:17,Medium,NA,Unspecified*,2.524,3.753,0.5,28.4,96.6,NA,---,---,0,12076,0,12076,0.000,0,18335,0.000,2.850,0,0.00,751,0.13,0,0.00,0,0.00,18335,0.78,0,0.00
63,I352_O016_D006_II1_M0_F1_IR0_R1,0.621,0.000,0.048,0.000,6.278,52584,4.45,18335,0.78,52584,4.45,0,0.00,00:23:36,00:19:22,00:02:04,00:00:25,00:00:07,00:06:50,00:00:14,00:00:00,00:00:12,00:00:00,00:00:18,00:00:35,00:11:32,00:00:17,00:00:05,00:19:43,00:00:16,Medium,NA,Unspecified*,2.524,3.753,0.5,28.4,96.6,NA,---,---,0,12076,0,12076,0.000,0,18335,0.000,2.850,0,0.00,751,0.13,0,0.00,0,0.00,18335,0.78,0,0.00
90,I352_O016_D006_II1_M0_F1_IR1_R0,0.394,0.000,0.043,0.000,6.441,53329,4.51,23969,1.01,53329,4.51,0,0.00,00:24:57,00:21:55,00:02:02,00:00:24,00:00:08,00:07:18,00:00:16,00:00:00,00:00:11,00:00:00,00:00:19,00:00:37,00:12:20,00:00:19,00:00:05,00:22:17,00:00:17,Medium,NA,Unspecified*,2.527,3.914,0.5,28.5,96.5,NA,---,---,0,24366,0,24366,0.000,0,23969,0.000,2.850,0,0.00,641,0.11,6,<0.01,0,0.00,23969,1.01,0,0.00
