,NAME,T WNS(ns),T TNS(ns),T WHS(ns),T THS(ns),P Total On-Chip Power (W),U CLB LUTs,U CLB LUTs (%),U CLB Registers,U CLB Registers (%),U LUT as Logic,U LUT as Logic (%),U LUT as Memory,U LUT as Memory (%),E impl total,E synth synth_design,E impl open_checkpoint,E impl opt_design,E impl phys_opt_design,E impl place_design,E impl report_clock_utilization,E impl report_control_sets,E impl report_drc,E impl report_io,E impl report_methodology,E impl report_power,E impl route_design,E impl write_checkpoint,E synth create_clock,E synth total,E synth write_checkpoint,P Confidence Level,P Design Nets Matched,P Design Power Budget (W),P Device Static (W),P Dynamic (W),P Effective TJA (C/W),P Junction Temperature (C),P Max Ambient (C),P Power Budget Margin (W),P Setting File,P Simulation Activity File,T THS Failing Endpoints,T THS Total Endpoints,T TNS Failing Endpoints,T TNS Total Endpoints,T TNS(ns),T TPWS Failing Endpoints,T TPWS Total Endpoints,T TPWS(ns),T WPWS(ns),U CARRY8,U CARRY8 (%),U F7 Muxes,U F7 Muxes (%),U F8 Muxes,U F8 Muxes (%),U F9 Muxes,U F9 Muxes (%),U Register as Flip Flop,U Register as Flip Flop (%),U Register as Latch,U Register as Latch (%)
57,I352_O016_D006_II1_M0_F1_IR1_R1,0.394,0.000,0.043,0.000,6.441,53329,4.51,23969,1.01,53329,4.51,0,0.00,00:24:56,00:22:00,00:02:06,00:00:25,00:00:08,00:07:17,00:00:15,00:00:00,00:00:11,00:00:00,00:00:19,00:00:36,00:12:16,00:00:19,00:00:05,00:22:22,00:00:17,Medium,NA,Unspecified*,2.527,3.914,0.5,28.5,96.5,NA,---,---,0,24366,0,24366,0.000,0,23969,0.000,2.850,0,0.00,641,0.11,6,<0.01,0,0.00,23969,1.01,0,0.00
17,I352_O016_D006_II1_M1_F1_IR0_R0,-0.150,-2.487,0.039,0.000,5.614,,,,,,,,,01:34:27,00:18:22,00:02:03,00:00:23,00:00:20,00:08:46,00:00:13,00:00:00,00:00:11,00:00:00,00:00:11,00:00:32,01:20:26,00:00:18,00:00:05,00:18:44,00:00:17,Medium,NA,Unspecified*,2.514,3.099,0.5,28.1,96.9,NA,---,---,0,14682,41,14682,-2.487,0,20939,0.000,2.552,,,,,,,,,,,,
6,I352_O016_D006_II1_M1_F1_IR0_R1,-0.586,-43.744,0.039,0.000,5.600,,,,,,,,,08:24:37,00:17:23,00:01:58,00:00:22,00:00:06,00:07:03,00:00:15,00:00:00,00:00:11,00:00:00,00:00:13,00:00:33,08:12:40,00:00:17,00:00:05,00:17:43,00:00:15,Medium,NA,Unspecified*,2.514,3.086,0.5,28.0,97.0,NA,---,---,0,14682,151,14682,-43.744,0,20939,0.000,2.552,,,,,,,,,,,,
33,I352_O016_D006_II1_M1_F1_IR1_R0,-0.876,-84.215,0.042,0.000,5.586,,,,,,,,,02:15:51,00:15:56,00:02:04,00:00:22,00:00:25,00:08:32,00:00:15,00:00:00,00:00:11,00:00:00,00:00:12,00:00:32,02:01:55,00:00:19,00:00:05,00:16:18,00:00:17,Medium,NA,Unspecified*,2.514,3.072,0.5,28.0,97.0,NA,---,---,0,22749,202,22749,-84.215,0,22350,0.000,2.552,,,,,,,,,,,,
44,I352_O016_D006_II1_M1_F1_IR1_R1,0.075,0.000,0.047,0.000,5.497,,,,,,,,,00:44:56,00:17:10,00:01:59,00:00:22,00:00:06,00:07:58,00:00:14,00:00:00,00:00:10,00:00:00,00:00:16,00:00:32,00:32:06,00:00:16,00:00:05,00:17:30,00:00:15,Medium,NA,Unspecified*,2.513,2.985,0.5,28.0,97.0,NA,---,---,0,22749,0,22749,0.000,0,22350,0.000,2.552,,,,,,,,,,,,
88,I352_O016_D006_II4_M0_F1_IR0_R0,0.390,0.000,0.049,0.000,4.106,52318,4.43,10988,0.46,52318,4.43,0,0.00,00:24:01,00:15:16,00:02:00,00:00:25,00:00:07,00:06:45,00:00:15,00:00:00,00:00:10,00:00:00,00:00:17,00:00:31,00:12:12,00:00:17,00:00:05,00:15:37,00:00:16,Medium,NA,Unspecified*,2.492,1.613,0.5,27.2,97.8,NA,---,---,0,19655,0,19655,0.000,0,10988,0.000,2.850,0,0.00,873,0.15,9,<0.01,0,0.00,10988,0.46,0,0.00
60,I352_O016_D006_II4_M0_F1_IR0_R1,0.390,0.000,0.049,0.000,4.106,52318,4.43,10988,0.46,52318,4.43,0,0.00,00:23:13,00:15:17,00:02:01,00:00:23,00:00:06,00:06:28,00:00:14,00:00:00,00:00:10,00:00:00,00:00:17,00:00:31,00:11:47,00:00:17,00:00:05,00:15:38,00:00:16,Medium,NA,Unspecified*,2.492,1.613,0.5,27.2,97.8,NA,---,---,0,19655,0,19655,0.000,0,10988,0.000,2.850,0,0.00,873,0.15,9,<0.01,0,0.00,10988,0.46,0,0.00
81,I352_O016_D006_II4_M0_F1_IR1_R0,0.577,0.000,0.039,0.000,4.784,53961,4.56,23565,1.00,53961,4.56,0,0.00,00:24:17,00:16:27,00:02:02,00:00:25,00:00:08,00:06:52,00:00:14,00:00:00,00:00:10,00:00:00,00:00:18,00:00:35,00:12:10,00:00:19,00:00:05,00:16:49,00:00:17,Medium,NA,Unspecified*,2.502,2.281,0.5,27.6,97.4,NA,---,---,0,41463,0,41463,0.000,0,23565,0.000,2.850,0,0.00,676,0.11,6,<0.01,0,0.00,23565,1.00,0,0.00
66,I352_O016_D006_II4_M0_F1_IR1_R1,0.577,0.000,0.039,0.000,4.784,53961,4.56,23565,1.00,53961,4.56,0,0.00,00:24:21,00:16:38,00:02:02,00:00:24,00:00:08,00:06:49,00:00:15,00:00:00,00:00:11,00:00:00,00:00:18,00:00:36,00:12:15,00:00:18,00:00:05,00:17:00,00:00:17,Medium,NA,Unspecified*,2.502,2.281,0.5,27.6,97.4,NA,---,---,0,41463,0,41463,0.000,0,23565,0.000,2.850,0,0.00,676,0.11,6,<0.01,0,0.00,23565,1.00,0,0.00
4,I352_O016_D006_II4_M1_F1_IR0_R1,0.087,0.000,0.044,0.000,4.328,46601,3.94,12112,0.51,46601,3.94,0,0.00,01:36:03,00:19:00,00:01:55,00:00:21,00:00:06,00:07:00,00:00:15,00:00:00,00:00:10,00:00:00,00:00:18,00:00:32,01:24:18,00:00:15,00:00:05,00:19:19,00:00:14,Medium,NA,Unspecified*,2.496,1.833,0.5,27.4,97.6,NA,---,---,0,17534,0,17534,0.000,0,12112,0.000,2.850,0,0.00,9386,1.59,3840,1.30,0,0.00,12112,0.51,0,0.00
47,I352_O016_D006_II4_M1_F1_IR1_R1,0.242,0.000,0.041,0.000,4.525,47164,3.99,21969,0.93,47164,3.99,0,0.00,00:51:56,00:14:29,00:01:59,00:00:22,00:00:07,00:08:32,00:00:15,00:00:00,00:00:10,00:00:00,00:00:16,00:00:32,00:38:28,00:00:16,00:00:05,00:14:49,00:00:15,Medium,NA,Unspecified*,2.498,2.026,0.5,27.5,97.5,NA,---,---,0,38268,0,38268,0.000,0,21969,0.000,2.850,0,0.00,9419,1.59,3840,1.30,0,0.00,21969,0.93,0,0.00
82,I352_O016_D007_II1_M0_F1_IR0_R0,0.604,0.000,0.043,0.000,6.243,52748,4.46,18333,0.78,52748,4.46,0,0.00,00:23:19,00:17:15,00:02:03,00:00:23,00:00:07,00:06:39,00:00:14,00:00:00,00:00:10,00:00:00,00:00:17,00:00:34,00:11:34,00:00:18,00:00:05,00:17:37,00:00:17,Medium,NA,Unspecified*,2.524,3.719,0.5,28.4,96.6,NA,---,---,0,12090,0,12090,0.000,0,18333,0.000,2.850,0,0.00,719,0.12,6,<0.01,0,0.00,18333,0.78,0,0.00
49,I352_O016_D007_II1_M0_F1_IR0_R1,0.604,0.000,0.043,0.000,6.243,52748,4.46,18333,0.78,52748,4.46,0,0.00,00:24:06,00:17:15,00:02:03,00:00:24,00:00:07,00:07:02,00:00:14,00:00:00,00:00:10,00:00:00,00:00:17,00:00:33,00:11:55,00:00:18,00:00:05,00:17:37,00:00:17,Medium,NA,Unspecified*,2.524,3.719,0.5,28.4,96.6,NA,---,---,0,12090,0,12090,0.000,0,18333,0.000,2.850,0,0.00,719,0.12,6,<0.01,0,0.00,18333,0.78,0,0.00
96,I352_O016_D007_II1_M0_F1_IR1_R0,0.648,0.000,0.040,0.000,6.297,53044,4.49,23968,1.01,53044,4.49,0,0.00,00:23:59,00:21:29,00:02:04,00:00:25,00:00:08,00:06:53,00:00:14,00:00:00,00:00:10,00:00:00,00:00:17,00:00:35,00:11:48,00:00:19,00:00:05,00:21:52,00:00:18,Medium,NA,Unspecified*,2.525,3.773,0.5,28.4,96.6,NA,---,---,0,24365,0,24365,0.000,0,23968,0.000,2.850,0,0.00,762,0.13,0,0.00,0,0.00,23968,1.01,0,0.00
65,I352_O016_D007_II1_M0_F1_IR1_R1,0.648,0.000,0.040,0.000,6.297,53044,4.49,23968,1.01,53044,4.49,0,0.00,00:24:07,00:21:17,00:02:04,00:00:25,00:00:09,00:06:53,00:00:14,00:00:00,00:00:11,00:00:00,00:00:18,00:00:35,00:11:53,00:00:19,00:00:05,00:21:40,00:00:18,Medium,NA,Unspecified*,2.525,3.773,0.5,28.4,96.6,NA,---,---,0,24365,0,24365,0.000,0,23968,0.000,2.850,0,0.00,762,0.13,0,0.00,0,0.00,23968,1.01,0,0.00
3,I352_O016_D007_II1_M1_F1_IR0_R0,0.020,0.000,0.039,0.000,5.492,,,,,,,,,01:59:12,00:19:00,00:02:00,00:00:22,00:00:06,00:06:24,00:00:15,00:00:00,00:00:11,00:00:00,00:00:16,00:00:33,01:47:40,00:00:19,00:00:05,00:19:23,00:00:18,Medium,NA,Unspecified*,2.513,2.979,0.5,28.0,97.0,NA,---,---,0,15250,0,15250,0.000,0,21158,0.000,2.552,,,,,,,,,,,,
14,I352_O016_D007_II1_M1_F1_IR0_R1,0.441,0.000,0.039,0.000,5.421,,,,,,,,,00:27:33,00:18:59,00:01:58,00:00:22,00:00:06,00:06:06,00:00:13,00:00:00,00:00:10,00:00:00,00:00:17,00:00:32,00:16:32,00:00:17,00:00:05,00:19:20,00:00:16,Medium,NA,Unspecified*,2.512,2.910,0.5,27.9,97.1,NA,---,---,0,15269,0,15269,0.000,0,21177,0.000,2.552,,,,,,,,,,,,
42,I352_O016_D007_II1_M1_F1_IR1_R0,0.357,0.000,0.039,0.000,5.591,,,,,,,,,00:39:18,00:15:18,00:02:03,00:00:24,00:00:07,00:06:25,00:00:17,00:00:00,00:00:11,00:00:00,00:00:19,00:00:35,00:27:32,00:00:20,00:00:05,00:15:40,00:00:17,Medium,NA,Unspecified*,2.514,3.077,0.5,28.0,97.0,NA,---,---,0,22951,0,22951,0.000,0,22552,0.000,2.552,,,,,,,,,,,,
45,I352_O016_D007_II1_M1_F1_IR1_R1,0.292,0.000,0.039,0.000,5.573,,,,,,,,,00:25:50,00:15:51,00:01:59,00:00:22,00:00:07,00:06:17,00:00:14,00:00:00,00:00:10,00:00:00,00:00:16,00:00:32,00:14:37,00:00:17,00:00:05,00:16:11,00:00:15,Medium,NA,Unspecified*,2.514,3.059,0.5,28.0,97.0,NA,---,---,0,22977,0,22977,0.000,0,22578,0.000,2.552,,,,,,,,,,,,
106,I352_O016_D007_II4_M0_F1_IR0_R0,0.542,0.000,0.048,0.000,4.127,53934,4.56,10988,0.46,53934,4.56,0,0.00,00:24:01,00:18:24,00:02:02,00:00:24,00:00:07,00:06:54,00:00:15,00:00:00,00:00:11,00:00:00,00:00:17,00:00:35,00:11:59,00:00:17,00:00:05,00:18:45,00:00:16,Medium,NA,Unspecified*,2.493,1.635,0.5,27.2,97.8,NA,---,---,0,19658,0,19658,0.000,0,10988,0.000,2.850,0,0.00,749,0.13,5,<0.01,0,0.00,10988,0.46,0,0.00
55,I352_O016_D007_II4_M0_F1_IR0_R1,0.542,0.000,0.048,0.000,4.127,53934,4.56,10988,0.46,53934,4.56,0,0.00,00:24:09,00:18:12,00:02:01,00:00:24,00:00:08,00:07:04,00:00:15,00:00:00,00:00:10,00:00:00,00:00:17,00:00:33,00:12:00,00:00:17,00:00:05,00:18:33,00:00:16,Medium,NA,Unspecified*,2.493,1.635,0.5,27.2,97.8,NA,---,---,0,19658,0,19658,0.000,0,10988,0.000,2.850,0,0.00,749,0.13,5,<0.01,0,0.00,10988,0.46,0,0.00
92,I352_O016_D007_II4_M0_F1_IR1_R0,0.630,0.000,0.042,0.000,4.774,54029,4.57,23584,1.00,54029,4.57,0,0.00,00:25:41,00:20:17,00:02:02,00:00:25,00:00:09,00:07:13,00:00:15,00:00:00,00:00:10,00:00:00,00:00:18,00:00:35,00:13:11,00:00:19,00:00:05,00:20:39,00:00:17,Medium,NA,Unspecified*,2.502,2.272,0.5,27.6,97.4,NA,---,---,0,41503,0,41503,0.000,0,23584,0.000,2.850,0,0.00,744,0.13,0,0.00,0,0.00,23584,1.00,0,0.00
61,I352_O016_D007_II4_M0_F1_IR1_R1,0.630,0.000,0.042,0.000,4.774,54029,4.57,23584,1.00,54029,4.57,0,0.00,00:26:12,00:19:13,00:02:04,00:00:25,00:00:09,00:07:21,00:00:17,00:00:00,00:00:11,00:00:00,00:00:18,00:00:36,00:13:28,00:00:18,00:00:05,00:19:35,00:00:17,Medium,NA,Unspecified*,2.502,2.272,0.5,27.6,97.4,NA,---,---,0,41503,0,41503,0.000,0,23584,0.000,2.850,0,0.00,744,0.13,0,0.00,0,0.00,23584,1.00,0,0.00
18,I352_O016_D007_II4_M1_F1_IR0_R1,0.255,0.000,0.049,0.000,3.942,47089,3.98,12201,0.52,47089,3.98,0,0.00,00:29:46,00:15:19,00:01:56,00:00:22,00:00:06,00:06:44,00:00:16,00:00:00,00:00:11,00:00:00,00:00:16,00:00:32,00:18:08,00:00:17,00:00:05,00:15:39,00:00:15,Medium,NA,Unspecified*,2.490,1.452,0.5,27.1,97.9,NA,---,---,0,18028,0,18028,0.000,0,12201,0.000,2.850,0,0.00,9392,1.59,3840,1.30,0,0.00,12201,0.52,0,0.00
24,I352_O016_D007_II4_M1_F1_IR1_R1,0.523,0.000,0.042,0.000,4.398,46532,3.94,22055,0.93,46532,3.94,0,0.00,00:38:08,00:18:07,00:01:58,00:00:23,00:00:07,00:06:55,00:00:16,00:00:00,00:00:10,00:00:00,00:00:17,00:00:33,00:26:14,00:00:16,00:00:05,00:18:27,00:00:15,Medium,NA,Unspecified*,2.497,1.901,0.5,27.4,97.6,NA,---,---,0,38419,0,38419,0.000,0,22055,0.000,2.850,0,0.00,9273,1.57,3840,1.30,0,0.00,22055,0.93,0,0.00
83,I352_O016_D008_II1_M0_F1_IR0_R0,0.604,0.000,0.043,0.000,6.243,52748,4.46,18333,0.78,52748,4.46,0,0.00,00:23:59,00:17:32,00:02:06,00:00:24,00:00:07,00:07:03,00:00:15,00:00:00,00:00:10,00:00:01,00:00:17,00:00:34,00:11:43,00:00:17,00:00:06,00:17:55,00:00:17,Medium,NA,Unspecified*,2.524,3.719,0.5,28.4,96.6,NA,---,---,0,12090,0,12090,0.000,0,18333,0.000,2.850,0,0.00,719,0.12,6,<0.01,0,0.00,18333,0.78,0,0.00
48,I352_O016_D008_II1_M0_F1_IR0_R1,0.604,0.000,0.043,0.000,6.243,52748,4.46,18333,0.78,52748,4.46,0,0.00,00:23:42,00:17:22,00:02:12,00:00:24,00:00:07,00:06:58,00:00:14,00:00:00,00:00:11,00:00:00,00:00:17,00:00:33,00:11:25,00:00:18,00:00:05,00:17:43,00:00:16,Medium,NA,Unspecified*,2.524,3.719,0.5,28.4,96.6,NA,---,---,0,12090,0,12090,0.000,0,18333,0.000,2.850,0,0.00,719,0.12,6,<0.01,0,0.00,18333,0.78,0,0.00
86,I352_O016_D008_II1_M0_F1_IR1_R0,0.648,0.000,0.040,0.000,6.297,53044,4.49,23968,1.01,53044,4.49,0,0.00,00:26:05,00:22:33,00:02:19,00:00:26,00:00:09,00:07:42,00:00:16,00:00:00,00:00:11,00:00:00,00:00:19,00:00:37,00:12:39,00:00:19,00:00:06,00:22:57,00:00:18,Medium,NA,Unspecified*,2.525,3.773,0.5,28.4,96.6,NA,---,---,0,24365,0,24365,0.000,0,23968,0.000,2.850,0,0.00,762,0.13,0,0.00,0,0.00,23968,1.01,0,0.00
76,I352_O016_D008_II1_M0_F1_IR1_R1,0.648,0.000,0.040,0.000,6.297,53044,4.49,23968,1.01,53044,4.49,0,0.00,00:25:36,00:22:48,00:02:08,00:00:25,00:00:09,00:07:23,00:00:15,00:00:00,00:00:12,00:00:00,00:00:19,00:00:36,00:12:39,00:00:20,00:00:05,00:23:11,00:00:18,Medium,NA,Unspecified*,2.525,3.773,0.5,28.4,96.6,NA,---,---,0,24365,0,24365,0.000,0,23968,0.000,2.850,0,0.00,762,0.13,0,0.00,0,0.00,23968,1.01,0,0.00
8,I352_O016_D008_II1_M1_F1_IR0_R0,0.405,0.000,0.039,0.000,5.441,,,,,,,,,00:29:08,00:15:18,00:02:05,00:00:24,00:00:06,00:06:36,00:00:15,00:00:00,00:00:12,00:00:00,00:00:17,00:00:33,00:17:16,00:00:19,00:00:05,00:15:41,00:00:18,Medium,NA,Unspecified*,2.512,2.929,0.5,28.0,97.0,NA,---,---,0,15237,0,15237,0.000,0,21145,0.000,2.552,,,,,,,,,,,,
12,I352_O016_D008_II1_M1_F1_IR0_R1,0.198,0.000,0.039,0.000,5.437,,,,,,,,,00:31:04,00:15:12,00:01:59,00:00:23,00:00:06,00:06:06,00:00:14,00:00:00,00:00:10,00:00:00,00:00:16,00:00:32,00:20:01,00:00:17,00:00:05,00:15:33,00:00:16,Medium,NA,Unspecified*,2.512,2.925,0.5,28.0,97.0,NA,---,---,0,15263,0,15263,0.000,0,21171,0.000,2.552,,,,,,,,,,,,
38,I352_O016_D008_II1_M1_F1_IR1_R0,0.048,0.000,0.039,0.000,5.487,,,,,,,,,00:36:39,00:15:44,00:02:11,00:00:25,00:00:07,00:06:36,00:00:14,00:00:00,00:00:10,00:00:00,00:00:16,00:00:32,00:24:39,00:00:19,00:00:05,00:16:06,00:00:17,Medium,NA,Unspecified*,2.513,2.974,0.5,28.0,97.0,NA,---,---,0,22955,0,22955,0.000,0,22552,0.000,2.552,,,,,,,,,,,,
25,I352_O016_D008_II1_M1_F1_IR1_R1,0.072,0.000,0.039,0.000,5.520,,,,,,,,,02:35:55,00:15:35,00:01:58,00:00:23,00:00:07,00:06:31,00:00:16,00:00:00,00:00:11,00:00:00,00:00:17,00:00:33,02:24:21,00:00:18,00:00:05,00:15:55,00:00:15,Medium,NA,Unspecified*,2.513,3.007,0.5,28.0,97.0,NA,---,---,0,22981,0,22981,0.000,0,22578,0.000,2.552,,,,,,,,,,,,
100,I352_O016_D008_II4_M0_F1_IR0_R0,0.542,0.000,0.048,0.000,4.127,53934,4.56,10988,0.46,53934,4.56,0,0.00,00:25:06,00:18:54,00:02:06,00:00:24,00:00:07,00:07:23,00:00:16,00:00:00,00:00:12,00:00:00,00:00:19,00:00:35,00:12:26,00:00:17,00:00:05,00:19:16,00:00:17,Medium,NA,Unspecified*,2.493,1.635,0.5,27.2,97.8,NA,---,---,0,19658,0,19658,0.000,0,10988,0.000,2.850,0,0.00,749,0.13,5,<0.01,0,0.00,10988,0.46,0,0.00
77,I352_O016_D008_II4_M0_F1_IR0_R1,0.542,0.000,0.048,0.000,4.127,53934,4.56,10988,0.46,53934,4.56,0,0.00,00:25:15,00:18:56,00:02:05,00:00:24,00:00:08,00:07:27,00:00:17,00:00:00,00:00:13,00:00:00,00:00:21,00:00:36,00:12:25,00:00:18,00:00:05,00:19:17,00:00:16,Medium,NA,Unspecified*,2.493,1.635,0.5,27.2,97.8,NA,---,---,0,19658,0,19658,0.000,0,10988,0.000,2.850,0,0.00,749,0.13,5,<0.01,0,0.00,10988,0.46,0,0.00
87,I352_O016_D008_II4_M0_F1_IR1_R0,0.630,0.000,0.042,0.000,4.774,54029,4.57,23584,1.00,54029,4.57,0,0.00,00:25:41,00:20:23,00:02:05,00:00:25,00:00:09,00:07:06,00:00:16,00:00:00,00:00:11,00:00:00,00:00:19,00:00:38,00:13:08,00:00:19,00:00:05,00:20:45,00:00:17,Medium,NA,Unspecified*,2.502,2.272,0.5,27.6,97.4,NA,---,---,0,41503,0,41503,0.000,0,23584,0.000,2.850,0,0.00,744,0.13,0,0.00,0,0.00,23584,1.00,0,0.00
51,I352_O016_D008_II4_M0_F1_IR1_R1,0.630,0.000,0.042,0.000,4.774,54029,4.57,23584,1.00,54029,4.57,0,0.00,00:26:10,00:20:27,00:02:07,00:00:25,00:00:09,00:07:36,00:00:15,00:00:00,00:00:11,00:00:00,00:00:18,00:00:36,00:13:10,00:00:18,00:00:05,00:20:49,00:00:17,Medium,NA,Unspecified*,2.502,2.272,0.5,27.6,97.4,NA,---,---,0,41503,0,41503,0.000,0,23584,0.000,2.850,0,0.00,744,0.13,0,0.00,0,0.00,23584,1.00,0,0.00
16,I352_O016_D008_II4_M1_F1_IR0_R1,0.572,0.000,0.053,0.000,3.847,46755,3.95,12242,0.52,46755,3.95,0,0.00,00:23:01,00:14:27,00:01:57,00:00:21,00:00:06,00:05:52,00:00:14,00:00:00,00:00:10,00:00:00,00:00:15,00:00:31,00:12:23,00:00:16,00:00:05,00:14:47,00:00:15,Medium,NA,Unspecified*,2.489,1.358,0.5,27.1,97.9,NA,---,---,0,18111,0,18111,0.000,0,12242,0.000,2.850,0,0.00,9319,1.58,3840,1.30,0,0.00,12242,0.52,0,0.00
28,I352_O016_D008_II4_M1_F1_IR1_R1,0.527,0.000,0.043,0.000,4.404,47029,3.98,22055,0.93,47029,3.98,0,0.00,00:29:42,00:19:09,00:01:58,00:00:22,00:00:07,00:06:45,00:00:14,00:00:00,00:00:10,00:00:00,00:00:16,00:00:32,00:18:03,00:00:17,00:00:05,00:19:30,00:00:16,Medium,NA,Unspecified*,2.497,1.907,0.5,27.4,97.6,NA,---,---,0,38405,0,38405,0.000,0,22055,0.000,2.850,0,0.00,9284,1.57,3840,1.30,0,0.00,22055,0.93,0,0.00
